TIME_PERIOD,TIME_PERIOD_START,TIME_PERIOD_END,PRIMARY_TYPE,AGE,SEX,RACE,JUVENILE_I,DOMESTIC_I,GUNSHOT_INJURY_I,NUMBER_OF_VICTIMS
2011 Q1,01/01/2011,03/31/2011,HOMICIDE,30-39,M,BLK,false,false,NO,1
2000 Q4,10/01/2000,12/31/2000,HOMICIDE,70-79,M,WHI,false,false,NO,2
1992 Q4,10/01/1992,12/31/1992,HOMICIDE,70-79,M,WHI,false,false,NO,1
2012 Q4,10/01/2012,12/31/2012,BATTERY,20-29,UNKNOWN,UNKNOWN,false,false,NO,1
2003 Q2,03/01/2003,06/30/2003,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,true,false,UNKNOWN,42
2008 Q3,07/01/2008,09/30/2008,BATTERY,30-39,M,WBH,false,false,UNKNOWN,1
2015 Q4,10/01/2015,12/31/2015,ROBBERY,30-39,F,API,false,false,NO,9
2017 Q4,10/01/2017,12/31/2017,ASSAULT,0-19,M,WWH,false,true,NO,2
2002 Q1,01/01/2002,03/31/2002,ASSAULT,30-39,M,API,false,false,UNKNOWN,11
1997 Q3,07/01/1997,09/30/1997,HOMICIDE,20-29,F,WWH,false,true,YES,1
2018 Q3,07/01/2018,09/30/2018,ROBBERY,30-39,F,WHI,false,false,NO,38
1995 Q2,03/01/1995,06/30/1995,HOMICIDE,30-39,M,WHI,false,false,NO,2
2018 Q2,03/01/2018,06/30/2018,HOMICIDE,50-59,M,BLK,false,false,YES,4
2010 Q1,01/01/2010,03/31/2010,CRIMINAL SEXUAL ASSAULT,20-29,F,API,false,false,NO,2
2008 Q1,01/01/2008,03/31/2008,HOMICIDE,70-79,F,BLK,false,false,YES,1
2011 Q1,01/01/2011,03/31/2011,ROBBERY,UNKNOWN,F,WWH,,false,NO,2
2010 Q1,01/01/2010,03/31/2010,ROBBERY,70-79,M,WHI,false,false,NO,4
2002 Q2,03/01/2002,06/30/2002,ASSAULT,UNKNOWN,M,UNKNOWN,,false,UNKNOWN,2
2017 Q3,07/01/2017,09/30/2017,ROBBERY,20-29,M,WWH,false,true,NO,1
2002 Q1,01/01/2002,03/31/2002,ROBBERY,50-59,UNKNOWN,UNKNOWN,false,false,UNKNOWN,1
2017 Q1,01/01/2017,03/31/2017,CRIMINAL SEXUAL ASSAULT,20-29,F,WHI,false,true,NO,4
2018 Q2,03/01/2018,06/30/2018,ASSAULT,20-29,UNKNOWN,WBH,false,false,NO,1
1996 Q3,07/01/1996,09/30/1996,HOMICIDE,50-59,M,WHI,false,false,NO,1
2007 Q3,07/01/2007,09/30/2007,BATTERY,70-79,M,WWH,false,false,UNKNOWN,1
2022 Q4,10/01/2022,12/31/2022,BATTERY,40-49,F,WHI,false,true,NO,7
2003 Q4,10/01/2003,12/31/2003,BATTERY,0-19,M,API,false,false,UNKNOWN,1
1999 Q2,03/01/1999,06/30/1999,HOMICIDE,30-39,M,BLK,false,false,YES,12
