TIME_PERIOD,TIME_PERIOD_START,TIME_PERIOD_END,PRIMARY_TYPE,AGE,SEX,RACE,JUVENILE_I,DOMESTIC_I,GUNSHOT_INJURY_I,NUMBER_OF_VICTIMS
2011 Q1,01/01/2011,03/31/2011,HOMICIDE,30-39,M,BLK,False,False,NO,1.0
2000 Q4,10/01/2000,12/31/2000,HOMICIDE,70-79,M,WHI,False,False,NO,2.0
1992 Q4,10/01/1992,12/31/1992,HOMICIDE,70-79,M,WHI,False,False,NO,1.0
2015 Q4,10/01/2015,12/31/2015,ROBBERY,30-39,F,API,False,False,NO,9.0
2017 Q4,10/01/2017,12/31/2017,ASSAULT,0-19,M,WWH,False,True,NO,2.0
1997 Q3,07/01/1997,09/30/1997,HOMICIDE,20-29,F,WWH,False,True,YES,1.0
2018 Q3,07/01/2018,09/30/2018,ROBBERY,30-39,F,WHI,False,False,NO,38.0
1995 Q2,03/01/1995,06/30/1995,HOMICIDE,30-39,M,WHI,False,False,NO,2.0
2018 Q2,03/01/2018,06/30/2018,HOMICIDE,50-59,M,BLK,False,False,YES,4.0
2010 Q1,01/01/2010,03/31/2010,CRIMINAL SEXUAL ASSAULT,20-29,F,API,False,False,NO,2.0
2008 Q1,01/01/2008,03/31/2008,HOMICIDE,70-79,F,BLK,False,False,YES,1.0
2010 Q1,01/01/2010,03/31/2010,ROBBERY,70-79,M,WHI,False,False,NO,4.0
2017 Q3,07/01/2017,09/30/2017,ROBBERY,20-29,M,WWH,False,True,NO,1.0
2017 Q1,01/01/2017,03/31/2017,CRIMINAL SEXUAL ASSAULT,20-29,F,WHI,False,True,NO,4.0
1996 Q3,07/01/1996,09/30/1996,HOMICIDE,50-59,M,WHI,False,False,NO,1.0
2022 Q4,10/01/2022,12/31/2022,BATTERY,40-49,F,WHI,False,True,NO,7.0
1999 Q2,03/01/1999,06/30/1999,HOMICIDE,30-39,M,BLK,False,False,YES,12.0
2024 Q2,03/01/2024,06/30/2024,BATTERY,50-59,F,WWH,False,True,NO,2.0
2021 Q3,07/01/2021,09/30/2021,BATTERY,50-59,M,I,False,False,NO,1.0
2015 Q3,07/01/2015,09/30/2015,BATTERY,60-69,M,WWH,False,True,NO,4.0
2015 Q3,07/01/2015,09/30/2015,ASSAULT,30-39,F,WHI,False,True,NO,6.0
2013 Q3,07/01/2013,09/30/2013,BATTERY,0-19,F,WWH,False,False,NO,3.0
2022 Q3,07/01/2022,09/30/2022,CRIMINAL SEXUAL ASSAULT,60-69,M,WHI,False,False,NO,1.0
2021 Q1,01/01/2021,03/31/2021,ROBBERY,30-39,F,BLK,False,False,NO,74.0
2021 Q3,07/01/2021,09/30/2021,ROBBERY,40-49,F,BLK,False,True,NO,5.0
2019 Q2,03/01/2019,06/30/2019,ASSAULT,50-59,F,BLK,False,False,NO,25.0
2019 Q1,01/01/2019,03/31/2019,BATTERY,0-19,F,API,False,True,NO,1.0
2015 Q1,01/01/2015,03/31/2015,ASSAULT,40-49,F,WHI,False,False,NO,1.0
2013 Q4,10/01/2013,12/31/2013,ROBBERY,70-79,M,WHI,False,False,NO,6.0
2020 Q3,07/01/2020,09/30/2020,BATTERY,20-29,F,BLK,False,False,NO,97.0
2013 Q3,07/01/2013,09/30/2013,ROBBERY,20-29,M,WHI,False,False,NO,179.0
2020 Q4,10/01/2020,12/31/2020,BATTERY,70-79,F,BLK,False,False,NO,3.0
2011 Q2,03/01/2011,06/30/2011,ASSAULT,60-69,M,BLK,False,True,NO,4.0
2017 Q4,10/01/2017,12/31/2017,BATTERY,70-79,F,API,False,False,NO,1.0
2010 Q3,07/01/2010,09/30/2010,ASSAULT,50-59,M,API,False,False,NO,4.0
2012 Q1,01/01/2012,03/31/2012,BATTERY,30-39,M,WHI,False,False,NO,22.0
2016 Q1,01/01/2016,03/31/2016,ROBBERY,30-39,F,API,False,False,NO,7.0
2014 Q4,10/01/2014,12/31/2014,ROBBERY,50-59,M,WWH,False,False,NO,25.0
2011 Q1,01/01/2011,03/31/2011,HOMICIDE,0-19,M,WWH,True,False,YES,1.0
2013 Q1,01/01/2013,03/31/2013,HOMICIDE,20-29,M,WBH,False,False,NO,1.0
2012 Q4,10/01/2012,12/31/2012,ROBBERY,0-19,M,WWH,True,False,NO,91.0
2016 Q1,01/01/2016,03/31/2016,CRIMINAL SEXUAL ASSAULT,40-49,F,I,False,True,NO,1.0
2020 Q1,01/01/2020,03/31/2020,ROBBERY,40-49,M,I,False,False,NO,2.0
2011 Q1,01/01/2011,03/31/2011,HOMICIDE,0-19,M,BLK,False,False,YES,5.0
2015 Q4,10/01/2015,12/31/2015,BATTERY,30-39,M,WWH,False,True,NO,9.0
2017 Q2,03/01/2017,06/30/2017,ASSAULT,0-19,F,BLK,False,False,NO,20.0
2021 Q1,01/01/2021,03/31/2021,HOMICIDE,60-69,M,BLK,False,False,YES,1.0
2020 Q2,03/01/2020,06/30/2020,CRIMINAL SEXUAL ASSAULT,20-29,M,WHI,False,False,NO,1.0
2003 Q1,01/01/2003,03/31/2003,HOMICIDE,30-39,M,BLK,False,False,YES,14.0
2012 Q4,10/01/2012,12/31/2012,ASSAULT,40-49,F,WWH,False,True,NO,6.0
1991 Q3,07/01/1991,09/30/1991,HOMICIDE,0-19,M,BLK,False,False,NO,1.0
2019 Q1,01/01/2019,03/31/2019,HOMICIDE,0-19,M,WWH,False,False,YES,1.0
2012 Q3,07/01/2012,09/30/2012,BATTERY,40-49,M,WHI,False,True,NO,4.0
2020 Q1,01/01/2020,03/31/2020,BATTERY,50-59,F,BLK,False,True,NO,31.0
2003 Q2,03/01/2003,06/30/2003,HOMICIDE,30-39,F,WWH,False,True,YES,1.0
1996 Q4,10/01/1996,12/31/1996,HOMICIDE,0-19,M,WHI,True,False,YES,1.0
2017 Q4,10/01/2017,12/31/2017,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,False,False,NO,4.0
2017 Q2,03/01/2017,06/30/2017,ROBBERY,70-79,F,BLK,False,False,NO,13.0
